user,recovery_time,max_recovery_time,median_recovery_time
user_000150,4186.289841,8336.625084,4186.289841
user_000151,15.002004,18.65357,15.002004
user_000152,2270.362144,5993.658024,1813.806807
user_000153,0.0,,
user_000154,15.329896,25.795621,15.329896
user_000155,113.758816,144.777955,113.758816
user_000156,17672.450609,79453.766782,683.696297
user_000157,0.0,,
user_000158,24.371555,24.371555,24.371555
user_000159,0.0,,
user_000160,14.512365,17.93082,14.512365
user_000161,5656.064939,38998.43556,117.229118
user_000162,0.0,,
user_000163,105.495629,362.745418,25.589553
user_000164,28.348552,50.980262,19.249669
user_000165,5.477512,12.505456,5.12474
user_000166,0.0,,
user_000167,64.490694,181.846576,7.150077
user_000168,12839.103861,38381.356888,6479.173242
user_000169,22.252054,88.778785,5.014261
user_000170,0.0,,
user_000171,10.53437,16.424064,10.553978
user_000172,14.569479,23.283306,14.569479
user_000173,122.603295,834.545027,16.096818
user_000174,8.722135,11.392326,8.722135
user_000175,55.156023,181.828226,26.637862
user_000176,103.611639,282.242262,66.560255
user_000177,982.003062,7614.680884,120.020238
user_000178,57.089278,414.897859,23.610855
user_000179,1444.458357,29186.193043,44.120296
user_000180,793907.072288,2329123.833908,52584.854843
user_000181,43622.419179,87214.458933,43622.419179
user_000182,14.168801,18.318095,15.727306
user_000183,16.662872,16.662872,16.662872
user_000184,644.600131,1008.981601,644.600131
user_000185,20.880663,22.429739,20.382047
user_000186,16330.989681,81551.726431,31.126777
user_000187,118211.116742,236407.185834,118211.116742
user_000188,14.68387,23.414298,11.026096
user_000189,3702.317125,64293.908437,120.891049
user_000190,11.531914,12.881862,11.531914
user_000191,341.170271,2867.090207,13.232046
user_000192,1395.020905,7823.482719,39.593934
user_000193,39.835535,312.250331,16.508218
user_000194,8814.003801,58911.747181,32.920256
user_000195,11.920785,17.865958,9.15359
user_000196,13058.823647,51045.347745,585.338964
user_000197,6659.196849,112622.993987,18.046557
user_000198,686.119446,1286.278859,686.119446
user_000199,137.847091,772.993331,32.659957
user_000200,15356.421944,235786.449496,56.196379
user_000201,130.80611,313.693316,110.099191
user_000202,530.648978,3952.103856,53.636847
user_000203,16050.357643,64038.140304,76.770535
user_000204,5.510822,5.691978,5.510822
user_000205,0.0,,
user_000206,297.048977,1012.054743,60.419776
user_000207,188.800364,1789.476304,53.392717
user_000208,17.493705,24.261147,17.437434
user_000209,184.270441,2545.750282,49.453663
user_000210,35572.843408,233032.317941,2265.76646
user_000211,15.303894,26.246409,14.166464
user_000212,863.884899,6165.184836,71.968226
user_000213,7077.370165,15371.86144,6464.877549
user_000214,2242.856251,6641.472706,81.710103
user_000215,1816.645027,7122.411334,66.594484
user_000216,2025.060785,17213.593125,114.948114
user_000217,34021.660257,249569.715028,79.214745
user_000218,0.0,,
user_000219,9260.590131,82703.985314,59.189396
user_000220,36.070538,36.070538,36.070538
user_000221,48.327305,172.756481,16.433194
user_000222,85.778255,85.778255,85.778255
user_000223,16098.278239,80361.495693,45.772009
user_000224,84.877291,275.228239,28.79428
user_000225,3084.065928,78705.694373,14.992945
user_000226,3024958.413096,3024958.413096,3024958.413096
user_000227,1256.258719,7196.413301,480.428813
user_000228,273.056909,1213.377548,10.560206
user_000229,0.0,,
user_000230,802.217182,2554.655253,157.066029
user_000231,19.897768,32.179273,14.686215
user_000232,0.0,,
user_000233,2051.35131,10412.808599,438.827251
user_000234,5224.537392,29180.528527,85.800522
user_000235,152.59775,370.637474,138.699826
user_000236,30180.571322,230386.970575,17.504242
user_000237,1888.071335,8366.693908,187.504116
user_000238,5726.077333,25559.254504,106.89601
user_000239,29380.177659,227500.824438,257.185837
user_000241,26.534202,42.800056,23.854165
user_000242,11.117712,20.349312,11.294134
user_000243,280.365389,2411.002379,32.007331
user_000244,13.162683,58.002796,8.970672
user_000245,4095.721478,16353.744996,12.193695
user_000246,13993.076601,55079.625273,421.372768
user_000247,3805.259852,53382.000976,29.609003
user_000248,16.869348,18.071409,16.869348
user_000249,515.253747,3087.531157,296.167803
user_000250,1556.913564,3730.651829,1352.178059
user_000251,0.0,,
user_000252,11239.74694,54492.516838,183.975942
user_000253,97.635405,222.05193,53.23475
user_000254,49.282591,616.180408,9.697279
user_000255,681.065167,8330.613198,65.596363
user_000256,0.0,,
user_000257,51082.63125,102150.778894,51082.63125
user_000258,312.320006,634.941654,418.334676
user_000259,22.098815,63.378821,12.097716
user_000260,26.932744,134.450845,9.503121
user_000261,792.825503,6549.719332,42.770321
user_000262,13.699885,18.196496,15.137646
user_000263,6006.163619,41733.19592,15.702711
user_000264,145.598898,529.544354,32.168153
user_000265,0.0,,
user_000266,3546.116421,64870.479601,8.477714
user_000267,4179.365102,57950.753089,15.256628
user_000268,153595.690161,614296.003986,37.937541
user_000269,501.23086,1273.116918,149.535907
user_000270,28.980708,54.305473,32.550842
user_000271,11.572622,24.847811,10.244872
user_000272,10.565094,10.565094,10.565094
user_000273,9.584055,13.523921,9.584055
user_000274,27.049191,44.6111,27.795655
user_000275,0.0,,
user_000276,2021.976882,11608.539302,34.56524
user_000277,1242.667026,9726.886204,61.829378
user_000278,1453.852269,4498.232788,649.160114
user_000279,8390.150276,56975.679056,9.968234
user_000280,24.848163,247.843507,14.566443
user_000281,1086.188687,11767.871134,12.357841
user_000282,9767.138629,58216.683041,47.910309
user_000283,0.0,,
user_000284,0.0,,
user_000285,8109.862135,76315.474342,4.389642
user_000286,502.435401,3897.427664,13.294338
user_000287,17.761116,29.572461,17.761116
user_000288,14263.172682,508212.139585,14.000734
user_000289,53.658455,502.460944,22.040381
user_000290,47195.86156,89005.700713,58055.410005
user_000291,50428.675692,100818.739493,50428.675692
user_000292,30.56053,92.078748,16.154271
user_000293,7436.506674,14450.700665,7436.506674
user_000294,2804.233498,55554.128756,21.631618
user_000295,16.466819,19.38493,16.466819
user_000296,164.899701,1200.812456,12.502452
user_000297,12.978069,20.933066,11.410638
user_000298,57076.09715,570627.0945,8.057042
user_000299,326.714741,1403.105195,158.938066
user_000300,0.0,,
user_000301,3458.010776,48236.189996,10.425615
user_000302,1197.200856,8271.104415,11.749385
user_000303,16.142406,16.142406,16.142406
user_000304,324.191513,1772.506322,28.390569
user_000305,5013.396202,79796.50117,1021.442876
user_000306,375.264971,3928.164393,80.325869
user_000307,7.319296,9.785203,7.319296
user_000308,54.177242,238.790614,12.57138
user_000309,5588.717182,50215.173947,11.888894
user_000310,31.959369,74.231026,13.394343
user_000311,3.108856,3.178255,3.108856
user_000312,63.796766,652.592813,10.33332
user_000313,3249.458955,66681.71869,18.403653
user_000314,89.275594,367.230692,28.147846
user_000315,0.0,,
user_000316,4609.100994,61780.044652,47.47357
user_000317,26.918101,71.068247,17.522354
user_000318,167.169459,706.811937,33.626054
user_000319,6.234351,9.56566,5.781184
user_000320,915.451828,4891.012508,185.50497
user_000321,5792.905572,72587.902258,26.233627
user_000323,2829.31773,255010.813368,5.642216
user_000324,766.912994,6042.77632,13.243941
user_000325,11746.899741,70399.173007,21.120866
user_000326,2706.093168,51578.605373,28.900022
user_000327,103.68335,2629.499905,10.299841
user_000328,5672.131256,62743.013654,31.706278
user_000329,104.105157,170.250247,114.340717
user_000330,5091.964214,68861.599712,54.50889
user_000331,6.821203,9.903292,8.565972
user_000332,57.296886,376.18919,14.028705
user_000333,16708.420024,235211.20591,18.977001
user_000334,40.630273,57.474342,40.148631
user_000335,837.535583,12747.059863,27.954258
user_000336,32.290254,120.269171,13.293866
user_000337,39137.108327,78261.825918,39137.108327
user_000338,18980.907628,68384.528444,4117.704588
user_000339,0.0,,
user_000340,5367.85922,10716.434216,5367.85922
user_000341,2096.778604,52454.553497,10.101004
user_000342,12.967395,12.967395,12.967395
user_000343,58327.788455,321708.012643,15048.42542
user_000344,8618.156317,87208.923244,183.03406
user_000345,22.048811,49.728361,20.629445
user_000346,198.101908,553.72888,147.239168
user_000347,700.124712,6748.745228,34.974271
user_000348,1191.835621,5012.870191,16.729196
user_000349,40.933924,223.94448,8.875764
user_000350,10483.843198,100557.974139,16.12157
user_000351,0.0,,
user_000352,34627.14132,173005.952343,22.389353
user_000353,15564.926729,60458.414624,895.066868
user_000354,4844.680154,52280.174622,14.60439
user_000355,9.293012,11.577085,9.293012
user_000356,42157.3461,479763.22905,9.944082
user_000357,11969.332702,59731.656636,35.179951
user_000358,292.393543,2312.494433,36.821675
user_000360,14732.599934,14732.599934,14732.599934
user_000361,215.62329,1644.214173,9.38763
user_000363,17.208666,31.121886,14.106079
user_000365,65222.578264,324241.886604,34.84612
user_000366,10480.088578,166555.052687,30.429671
user_000367,82.515937,905.467865,14.565324
user_000368,18.084834,57.631101,13.952377
user_000369,10.537138,10.537138,10.537138
user_000371,295.947437,3365.762497,28.082393
user_000372,114.611666,254.864637,98.621852
user_000373,14.856533,26.769172,12.138527
user_000374,72.595496,1398.195383,14.279535
user_000375,21.238769,51.381267,11.306555
user_000376,1164.575459,17035.209791,25.53895
user_000377,136225.126139,544814.254224,41.274503
user_000378,2064.837444,8060.960703,93.304732
user_000379,2736.60837,8140.874477,51.647599
user_000380,16690.095915,71018.734519,44.079767
user_000381,6.523283,7.878293,6.523283
user_000382,11093.595851,131116.880538,11.518822
user_000383,9.236755,25.343736,8.296191
user_000384,213.792449,520.164463,40.154652
user_000385,88.933721,1350.491403,15.422937
user_000386,1634.293108,7972.367676,16.015525
user_000387,24.162951,39.128486,23.881031
user_000388,189.590784,1877.396191,67.768951
user_000389,91.287446,375.053233,16.150535
user_000390,468.15591,4092.024383,25.406064
user_000391,9666.20943,62018.301701,27.187949
user_000392,62.362508,62.362508,62.362508
user_000393,36069.683927,178985.136109,415.929198
user_000394,346.33479,954.102101,43.074506
user_000395,44.918279,107.969803,27.817816
user_000396,111.853665,891.431691,27.22995
user_000397,29639.712662,85593.19828,16430.59129
user_000398,44.217703,57.419834,44.217703
user_000399,327.577466,2213.057692,7.056092
user_000400,1142.283141,23652.0919,14.902204
user_000401,1301.227163,4609.26749,290.465431
user_000402,221.1184,30460.413543,6.849511
user_000403,48.896862,100.609871,35.860681
user_000404,437.732702,747.320479,600.873773
user_000405,2234.005252,73488.416954,54.088338
user_000406,32135.783995,270115.782294,67.239804
user_000407,24.537556,24.537556,24.537556
user_000408,1509.476442,9006.966708,7.724934
user_000409,164.474507,840.094548,54.766995
user_000410,43.12378,482.706298,8.795397
user_000411,0.0,,
user_000412,69.300988,69.300988,69.300988
user_000413,11.342148,13.290004,11.499989
user_000414,248.992279,1674.395661,13.088044
user_000415,18.531637,48.682779,9.23593
user_000416,18.855814,35.172089,16.592213
user_000417,11827.949114,11827.949114,11827.949114
user_000418,20221.190365,60398.709572,1937.881631
user_000419,70.26695,106.344566,70.26695
user_000420,31.308556,142.825959,8.131204
user_000421,14.139509,14.139509,14.139509
user_000422,29.004781,156.720885,14.034311
user_000423,341.923855,11118.82588,10.842206
user_000424,20050.87414,220231.104559,23.346918
user_000425,22.25053,23.510121,22.25053
user_000426,19.892044,92.602637,13.092954
user_000427,302.202352,693.575069,235.363095
user_000428,0.0,,
user_000429,663.004202,3860.550024,200.940402
user_000430,30.882594,74.082509,17.602296
user_000431,7186.124252,21039.238915,481.399976
user_000432,0.0,,
user_000433,512.481938,1979.741799,41.15503
user_000434,0.0,,
user_000435,45.131583,45.131583,45.131583
user_000436,11639.761724,406909.172568,12.549542
user_000437,28.544276,113.04849,12.233219
user_000438,45.64299,134.200188,19.189035
user_000439,392.82942,5227.968728,10.10453
